Name,B2,B6,B7,B9,B10,B11,B14,B15,BRBR
MH0224_GL0028391,0,0,1,0,1,0,0,0,0
MH0108_GL0078699,0,0,1,0,0,0,0,0,0
MH0246_GL0084481,0,0,1,0,0,0,0,0,0
V1.CD43-0_GL0026127,0,0,1,0,1,0,0,0,0
MH0188_GL0159025,0,0,1,0,0,0,0,0,0
V1.FI36_GL0058380,0,0,1,0,0,0,1,0,1
MH0433_GL0042968,0,0,1,0,0,0,0,0,0
DOM017_GL0050578,0,0,1,0,0,0,0,0,0
MH0230_GL0126309,0,0,1,0,0,0,0,0,0
MH0105_GL0041951,0,0,1,0,1,0,0,0,0
MH0074_GL0012958,0,0,1,0,1,0,1,0,1
O2.UC36-0_GL0121483,0,0,1,1,0,0,0,0,0
MH0239_GL0084186,0,0,1,0,0,0,0,0,0
MH0204_GL0164549,0,0,1,0,0,0,0,0,0
MH0314_GL0088362,0,0,1,0,0,0,0,0,0
T2D-135A_GL0072715,0,0,1,0,1,0,0,0,0
MH0438_GL0227840,0,0,1,0,0,0,0,0,0
MH0128_GL0019168,0,0,1,0,1,0,0,0,0
MH0421_GL0134823,0,0,1,0,1,0,0,0,0
T2D-135A_GL0061722,0,0,1,0,1,0,0,0,0
T2D-176A_GL0057367,0,0,1,0,1,0,0,0,0
MH0054_GL0016504,0,0,1,0,1,0,0,0,0
N035A_GL0029628,0,0,1,0,0,0,0,0,0
MH0430_GL0010972,0,0,1,0,0,0,0,0,0
MH0389_GL0109617,0,0,1,0,0,0,0,0,0
O2.UC29-2_GL0108601,0,0,1,0,0,0,0,0,0
MH0309_GL0141986,0,0,1,0,0,0,0,0,0
MH0094_GL0066101,0,0,1,0,0,0,0,0,0
MH0041_GL0074364,0,0,1,0,0,0,0,0,0
O2.UC20-1_GL0192111,0,0,1,0,0,0,0,0,0
MH0298_GL0033265,0,0,1,0,1,0,0,0,0
MH0012_GL0194952,0,0,1,0,1,0,0,0,0
V1.UC61-0_GL0055286,0,0,1,0,0,0,0,0,0
MH0013_GL0031262,0,0,1,0,0,0,0,0,0
MH0041_GL0027131,0,0,1,0,1,0,0,0,0
MH0444_GL0019402,0,0,1,0,0,0,0,0,0
N042A_GL0006141,0,0,1,1,0,0,0,0,0
MH0192_GL0149308,0,0,1,0,0,0,0,0,0
762983.HMPREF9444_01603,0,0,1,0,1,0,0,0,0
908338.HMPREF9286_0405,0,0,1,1,0,0,0,0,0
MH0204_GL0047283,0,0,0,1,1,1,1,1,1
MH0095_GL0005196,0,0,0,1,1,1,1,1,1
T2D-108A_GL0061850,0,0,0,1,0,1,1,1,0
MH0425_GL0031039,0,0,0,1,1,1,1,1,1
716541.ECL_00244,0,0,0,1,0,1,1,1,1
MH0014_GL0016890,0,0,0,1,0,0,0,0,0
945360.SGF_03558,0,0,0,1,0,1,1,1,1
