Name;B2;B6;B7;B9;B10;B11;B14;B15;BRBR
374;0;0;0;0;1;0;0;0;0
375;0;0;0;0;1;0;0;0;0
376;0;0;0;0;1;0;0;0;0
377;0;0;0;0;1;0;0;0;0
378;0;0;0;0;1;0;0;0;0
379;0;0;0;0;1;0;0;0;0
380;0;0;0;0;1;0;0;0;0
381;0;0;0;0;0;1;1;1;0
382;0;0;0;0;0;1;1;1;1
383;0;0;0;0;0;1;1;1;1
384;0;0;0;0;0;1;0;1;0
385;0;0;0;0;0;1;1;1;0
386;0;0;0;0;0;1;1;1;0
387;0;0;0;0;0;1;1;0;1
388;0;0;0;0;0;1;0;1;0
389;0;0;0;0;0;1;0;1;0
390;0;0;0;0;0;1;1;1;0
391;0;0;0;0;0;1;1;1;0
392;0;0;0;0;0;1;0;1;0
393;0;0;0;0;0;1;0;1;0
394;0;0;0;0;0;1;0;1;0
395;0;0;0;0;0;1;0;1;0
396;0;0;0;0;0;1;1;1;0
397;0;0;0;0;0;1;1;1;0
398;0;0;0;0;0;1;0;1;0
399;0;0;0;0;0;1;0;1;0
400;0;0;0;0;0;1;1;1;0
401;0;0;0;0;0;1;1;1;0
402;0;0;0;0;0;1;0;0;0
403;0;0;0;0;0;1;1;1;0
404;0;0;0;0;0;1;0;1;0
405;0;0;0;0;0;1;1;1;0
406;0;0;0;0;0;1;0;1;0
407;0;0;0;0;0;1;0;1;0
408;0;0;0;0;0;1;0;1;0
409;0;0;0;0;0;1;1;1;0
410;0;0;0;0;0;1;0;0;0
411;0;0;0;0;0;1;0;0;0
412;0;0;0;0;0;1;0;1;0
413;0;0;0;0;0;1;0;1;0
414;0;0;0;0;0;1;0;0;0
415;0;0;0;0;0;1;0;1;0
416;0;0;0;0;0;1;1;1;0
417;0;0;0;0;0;1;1;1;0
418;0;0;0;0;0;1;0;0;0
419;0;0;0;0;0;1;0;1;0
420;0;0;0;0;0;1;0;0;0
421;0;0;0;0;0;1;0;1;0
422;0;0;0;0;0;1;1;1;0
423;0;0;0;0;0;1;0;1;0
424;0;0;0;0;0;1;1;0;1
425;0;0;0;0;0;1;0;0;0
426;0;0;0;0;0;1;0;1;0
427;0;0;0;0;0;1;0;0;0
428;0;0;0;0;0;1;0;0;0
429;0;0;0;0;0;1;0;0;0
430;0;0;0;0;0;1;0;0;0
431;0;0;0;0;0;1;0;1;0
432;0;0;0;0;0;1;0;1;0
433;0;0;0;0;0;1;1;0;0
434;0;0;0;0;0;0;1;1;0
435;0;0;0;0;0;0;1;0;1
436;0;0;0;0;0;0;1;0;0
437;0;0;0;0;0;0;1;0;0
438;0;0;0;0;0;0;1;0;0
439;0;0;0;0;0;0;1;0;0
440;0;0;0;0;0;0;1;0;0
441;0;0;0;0;0;0;1;0;0
442;0;0;0;0;0;0;1;0;0
443;0;0;0;0;0;0;1;1;0
444;0;0;0;0;0;0;1;0;0
445;0;0;0;0;0;0;1;0;0
446;0;0;0;0;0;0;1;0;0
447;0;0;0;0;0;0;1;0;0
448;0;0;0;0;0;0;1;0;0
449;0;0;0;0;0;0;1;0;1
450;0;0;0;0;0;0;1;0;0
451;0;0;0;0;0;0;1;0;0
452;0;0;0;0;0;0;1;0;0
453;0;0;0;0;0;0;1;0;0
454;0;0;0;0;0;0;1;0;0
455;0;0;0;0;0;0;1;0;0
456;0;0;0;0;0;0;1;0;0
457;0;0;0;0;0;0;1;0;0
458;0;0;0;0;0;0;0;1;0
459;0;0;0;0;0;0;0;1;0
460;0;0;0;0;0;0;0;1;0
461;0;0;0;0;0;0;0;1;0
462;0;0;0;0;0;0;0;1;0
463;0;0;0;0;0;0;0;1;0
464;0;0;0;0;0;0;0;1;0
465;0;0;0;0;0;0;0;1;0
466;0;0;0;0;0;0;0;1;0
467;0;0;0;0;0;0;0;0;1
468;0;0;0;0;0;0;0;0;1
469;0;0;0;0;0;0;0;0;1
470;0;0;0;0;0;0;0;0;1
471;0;0;0;0;0;0;0;0;1
472;0;0;0;0;0;0;0;0;1
473;0;0;0;0;0;0;0;0;1
474;0;0;0;0;0;0;0;0;1
475;0;0;0;0;0;0;0;0;1
476;0;0;0;0;0;0;0;0;1
477;0;0;0;0;0;0;0;0;1
478;0;0;0;0;0;0;0;0;1
479;0;0;0;0;0;0;0;0;1
480;0;0;0;0;0;0;0;0;1
481;0;0;0;0;0;0;0;0;1
482;0;0;0;0;0;0;0;0;1
483;0;0;0;0;0;0;0;0;1
484;0;0;0;0;0;0;0;0;1
485;0;0;0;0;0;0;0;0;1
486;0;0;0;0;0;0;0;0;1
487;0;0;0;0;0;0;0;0;1
488;0;0;0;0;0;0;0;0;1
489;0;0;0;0;0;0;0;0;1
490;0;0;0;0;0;0;0;0;1
